ticket_key,email_count_per_ticket,avg_sentiment,sentiment_variance,sentiment_trend,priority_numeric,subject_length,unique_senders,description_length,is_stalled,has_enough_emails,email_volume_per_ticket,priority,status,project.key,issuetype.name,type_Bug,type_Improvement,type_New Feature,type_Sub-task,type_Task,type_Test,type_Wish,proj_HADOOP,proj_HDFS,proj_MAPREDUCE,proj_YARN
HADOOP-18332,2,0.6184000000000001,0.49073210614346396,0.6940000000000001,3,4.0,2,60,0,1,2,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18344,1,0.1431,0.0,0.0,3,4.0,1,84,0,0,1,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18345,6,0.11423333333333334,0.4478561361270678,-0.4510666666666667,3,6.0,3,79,0,1,6,Major,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-18354,1,0.024,0.0,0.0,3,6.0,1,5,0,0,1,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18401,1,0.8028,0.0,0.0,2,6.0,1,5,0,0,1,Minor,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18468,1,0.6249,0.0,0.0,3,6.0,1,6,0,0,1,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18470,17,0.3699294117647059,0.48360070275577804,0.4289513888888889,5,6.882352941176471,5,0,0,1,17,Blocker,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18487,6,0.31625,0.3769188493561976,0.23030000000000003,3,6.0,4,87,0,1,6,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18502,1,-0.296,0.0,0.0,3,7.0,1,44,0,0,1,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18515,3,0.023866666666666665,0.5808069070985067,0.31735,3,7.0,2,21,0,1,3,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18525,11,0.48959090909090913,0.4640200910618967,-0.43308666666666656,4,7.909090909090909,6,640,1,1,11,Critical,Open,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18532,12,0.23197500000000001,0.512700022385942,-0.3058833333333333,1,7.0,8,4,0,1,12,Trivial,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18535,38,0.4904315789473684,0.38202219060017056,-0.10504210526315799,3,7.2368421052631575,14,189,0,1,38,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18546,1,0.5719,0.0,0.0,5,5.0,1,54,0,0,1,Blocker,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18590,15,0.22454666666666664,0.48820147753429294,0.3562035714285714,3,6.733333333333333,4,0,0,1,15,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18596,11,0.3245272727272727,0.41961560764802136,-0.06716000000000005,3,7.0,8,99,0,1,11,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18631,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,47,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18633,11,0.3245272727272727,0.41961560764802136,-0.06716000000000005,3,7.0,8,115,0,1,11,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18641,15,0.22454666666666664,0.48820147753429294,0.3562035714285714,3,6.733333333333333,4,74,0,1,15,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18648,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,47,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18649,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,68,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18653,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,101,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18654,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,34,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
